,명사,빈도
942,일전,1
943,넘사벽,1
944,정작,8
945,문제점,6
946,클래식,1
947,차넥필,4
948,랭킹,8
949,의식,5
950,버젼,3
951,도안,7
952,테스트,7
953,구장,1
954,프로토타입,1
955,찍,21
956,객관,3
957,지표,8
958,파악,4
959,씹트워크,1
960,에러,13
961,패승,1
962,뮌헨,5
963,보기,17
964,이건,62
965,짝발,3
966,캐,11
967,요건,1
968,게르만,1
969,듀오,1
970,가격,12
971,무방,3
972,알박,1
973,매물,7
974,보,23
975,가성,6
976,비,25
977,첼린저급,2
978,팀운,1
979,첼린져,2
980,랭겜,1
981,감각,2
982,스타일,10
983,캐리,1
984,낫,3
985,의미,28
986,부인,4
987,알기,2
988,떄매,1
989,하든,7
990,공경기,1
991,초,19
992,매달,1
993,뭐합,1
994,와이드,1
995,모니터,21
996,대해,42
997,하나요,12
998,컨텐츠,17
999,세분,1
1000,프로리그,2
1001,피해,15
1002,물,21
1003,안함,16
1004,존나,52
1005,어케,2
1006,지랄,20
1007,씨,11
1008,건아,1
1009,니지,1
1010,중반,7
1011,지나,2
1012,갓,2
1013,다다,2
1014,보통,13
1015,왓다갓다,1
1016,재밋는데,1
1017,티오,1
1018,피린,6
1019,참고,16
1020,통,5
1021,스레기,1
1022,둘이서,3
1023,연결,15
1024,오류로,4
1025,개탄,1
1026,느,1
1027,라인,10
1028,유행,2
1029,열중,1
1030,컨트롤,12
1031,짓거리,3
1032,형평성,9
1033,업뎃,1
1034,주로,4
1035,기본,22
1036,원래,38
1037,본인,97
1038,짜증,5
1039,남,24
1040,모집,7
1041,다우,9
1042,항만,9
1043,미션,17
1044,최대한,13
1045,본캐,27
1046,마냥,18
1047,맨시티,8
1048,하이라이트,3
1049,에데르,1
1050,송,1
1051,면상,1
1052,손겜,3
1053,이범영,5
1054,차이,58
1055,헛발질,1
1056,골대,5
1057,방향,48
1058,크로스,18
1059,대각선,5
1060,얼척,1
1061,햇,3
1062,고,15
1063,선심,2
1064,척,4
1065,뭘,13
1066,마이너스,1
1067,수두,2
1068,비커,2
1069,잡지,2
1070,미스테리,1
1071,도해,4
1072,왜인,2
1073,안눌리,1
1074,성인,3
1075,인원,7
1076,밑,17
1077,구가,10
1078,부자,1
1079,레전더,40
1080,리,35
1081,현,10
1082,폰,4
1083,컴,4
1084,부근,2
1085,저번,12
1086,러더,1
1087,클리,5
1088,이름,23
1089,좀바,2
1090,새,15
1091,라이브,6
1092,짐,14
1093,안해,9
1094,왜이맇,1
1095,주네,2
1096,타임,2
1097,외,7
1098,본적,11
1099,한계,19
1100,옛날,9
1101,개편,1
1102,학충,1
1103,버스,1
1104,가장,39
1105,낮,5
1106,판하,7
1107,쫌,4
1108,첫날,3
1109,런가,10
1110,지난,5
1111,두,11
1112,회복,3
1113,채굴,14
1114,민심,2
1115,나락가,1
1116,쌍욕,1
1117,인심,1
1118,개빡셈,1
1119,즐겜,7
1120,데스,1
1121,쿼드,1
1122,완성,5
1123,기념,2
1124,쭉,11
1125,빡세,15
1126,서유,1
1127,튭,1
1128,그대로,22
1129,여서,2
1130,음녀,1
